Name,smiles,MolecularWeight
O=C(O)c1ccc(B(c2ccc(Cl)cc2)c2ccccc2F)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C(=O)O)cc1)(c1ccccc1F),338.57
O=C(O)c1ccc(B(c2ccc(F)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(CCl)cc1),352.6
O=C(O)c1ccc(B(c2ccc(F)cc2)c2ccc(Cl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(Cl)cc1)(c1ccc(C(=O)O)cc1),338.57
N#Cc1cccc(B(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c1,[B](c1ccc(Cl)cc1)(c1ccc(Cl)cc1)(c1cc(C#N)ccc1),336.03
Cc1ccc(C)c(B(c2ccccc2F)c2ccccc2F)c1,[B](c1cc(C)ccc1C)(c1ccccc1F)(c1ccccc1F),306.16
Fc1ccccc1B(c1ccc(Cl)cc1)c1ccc(Cl)cc1,[B](c1ccc(Cl)cc1)(c1ccc(Cl)cc1)(c1ccccc1F),329.01
Cc1ccc(B(c2ccccc2)c2ccc(F)cc2)cc1,[B](c1ccccc1)(c1ccc(F)cc1)(c1ccc(C)cc1),274.15
N#Cc1cccc(B(c2ccc(F)cc2)c2cccc(C#N)c2)c1,[B](c1ccc(F)cc1)(c1cc(C#N)ccc1)(c1cc(C#N)ccc1),310.14
O=C(O)c1ccc(B(c2ccccc2F)c2ccccc2F)cc1,[B](c1ccc(C(=O)O)cc1)(c1ccccc1F)(c1ccccc1F),322.12
Cc1ccc(C)c(B(c2cccc(C#N)c2)c2cccc(C#N)c2)c1,[B](c1cc(C)ccc1C)(c1cc(C#N)ccc1)(c1cc(C#N)ccc1),320.2
Cc1ccc(B(c2ccc(C)cc2)c2cc(C)ccc2C)cc1,[B](c1ccc(C)cc1)(c1ccc(C)cc1)(c1cc(C)ccc1C),298.24
Fc1ccccc1B(c1ccccc1)c1ccc(Cl)cc1,[B](c1ccccc1)(c1ccc(Cl)cc1)(c1ccccc1F),294.56
Cc1ccc(B(c2ccccc2)c2ccccc2F)cc1,[B](c1ccccc1)(c1ccc(C)cc1)(c1ccccc1F),274.15
Cc1ccc(B(c2ccccc2)c2ccccc2)cc1,[B](c1ccccc1)(c1ccccc1)(c1ccc(C)cc1),256.16
